Station,Entries,Latitude,Longitude,Year
Cranbourne,407700,-38.09953731,145.280599,2020
Cranbourne,949900,-38.09953731,145.280599,2023
Cranbourne,1054250,-38.09953731,145.280599,2024
Crib Point,7150,-38.36612338,145.2040433,2023
Crib Point,7900,-38.36612338,145.2040433,2024
Croxton,228050,-37.764101,144.9970562,2023
Croxton,244250,-37.764101,144.9970562,2024
Croydon,288100,-37.79543697,145.2805978,2023
Croydon,447350,-37.79543697,145.2805978,2024
Dandenong,1159900,-37.98996792,145.2097254,2020
Dandenong,2073300,-37.98996792,145.2097254,2023
Dandenong,1970750,-37.98996792,145.2097254,2024
Darebin,102800,-37.77496341,145.038476,2023
Darebin,112450,-37.77496341,145.038476,2024
Darling,282750,-37.86895684,145.0629508,2023
Darling,262650,-37.86895684,145.0629508,2024
Dennis,247400,-37.77918729,145.0082416,2023
Dennis,260800,-37.77918729,145.0082416,2024
Diamond Creek,128950,-37.67329744,145.1585062,2023
Diamond Creek,114700,-37.67329744,145.1585062,2024
Diggers Rest,173850,-37.62701651,144.7199224,2023
